CustomerID,Age,Gender,AnnualIncome,Education,Region,PurchaseFrequency,AvgOrderValue,WebVisitsPerMonth,DiscountUsagePct,RecencyDays,SpendingScore
C0001,39,Female,95000.0,Master,West,10,51.34,12.0,10.4,36,64.0
C0002,25,Female,84700.0,High School,East,11,47.47,15.0,25.5,43,47.8
C0003,44,Female,31600.0,High School,West,12,26.42,1.0,33.8,35,31.2
C0004,46,Female,20400.0,High School,West,1,28.81,11.0,23.6,15,49.4
C0005,18,Male,18000.0,High School,East,16,25.76,7.0,58.9,25,69.6
C0006,22,Female,53000.0,Master,South,12,39.26,9.0,19.1,46,58.9
C0007,37,Female,110900.0,Bachelor,East,5,60.3,8.0,43.4,40,49.7
C0008,33,Male,74600.0,High School,West,10,41.48,7.0,36.6,86,44.4
C0009,36,Female,52700.0,PhD,East,12,36.3,16.0,46.8,11,75.1
C0010,27,Female,75200.0,Bachelor,South,7,38.55,5.0,38.5,84,61.0
C0011,46,Female,30700.0,Bachelor,North,12,20.21,14.0,10.6,17,44.8
C0012,45,Female,85600.0,Bachelor,North,20,73.77,18.0,27.6,16,100.0
C0013,37,Male,88200.0,Bachelor,South,11,53.32,12.0,2.4,40,64.8
C0014,48,Female,63100.0,Bachelor,West,6,31.52,5.0,35.8,30,21.0
C0015,41,Female,100900.0,Bachelor,East,17,53.72,23.0,5.4,19,41.6
C0016,27,Female,101200.0,Master,North,15,69.23,9.0,15.4,22,58.1
C0017,40,Male,79700.0,Bachelor,West,15,44.66,12.0,25.0,2,59.7
C0018,25,Female,40200.0,Bachelor,South,8,30.73,8.0,37.5,42,42.1
C0019,46,Female,134600.0,High School,South,17,81.44,10.0,21.9,6,82.9
C0020,35,Male,100800.0,Master,West,11,64.55,10.0,43.2,14,73.0
C0021,34,Female,43700.0,Bachelor,South,6,36.27,4.0,33.7,94,58.9
C0022,29,Female,45500.0,Bachelor,East,5,33.27,9.0,32.7,77,48.8
C0023,49,Female,94400.0,PhD,West,14,66.79,12.0,10.2,30,73.3
C0024,34,Female,60800.0,Bachelor,East,15,47.85,7.0,45.4,34,81.7
C0025,31,Male,119500.0,High School,East,17,77.22,17.0,15.4,14,42.8
C0026,32,Female,55300.0,Bachelor,South,9,37.92,13.0,45.9,60,50.0
C0027,42,Female,125000.0,Bachelor,West,18,53.42,11.0,49.3,31,34.1
C0028,40,Female,47100.0,PhD,North,7,,9.0,55.1,17,44.6
C0029,41,Male,86900.0,Bachelor,South,16,62.04,10.0,37.4,1,79.2
C0030,41,Male,138600.0,Bachelor,West,18,88.89,15.0,0.0,23,100.0
C0031,60,Female,92900.0,Bachelor,South,15,64.86,15.0,22.7,18,97.8
C0032,32,Male,44300.0,Bachelor,North,10,20.28,18.0,38.2,1,59.8
C0033,30,Female,90400.0,High School,South,19,49.05,12.0,36.1,28,86.4
C0034,27,Female,75000.0,Master,South,9,59.52,4.0,10.4,71,55.7
C0035,43,Female,70800.0,High School,East,7,44.05,19.0,21.5,28,63.9
C0036,48,Male,79000.0,Master,North,6,55.94,9.0,0.0,59,53.0
C0037,35,Female,48100.0,Master,South,7,26.36,14.0,41.5,19,62.9
C0038,27,Male,90300.0,High School,West,11,44.73,9.0,2.4,95,44.1
C0039,27,Female,18000.0,Master,North,11,21.38,8.0,55.6,21,49.0
C0040,43,Female,47700.0,Master,West,15,38.58,11.0,39.2,19,70.5
C0041,44,Female,27900.0,Bachelor,North,7,25.43,5.0,19.3,70,35.9
C0042,42,Male,71000.0,Bachelor,South,8,57.55,18.0,31.3,41,100.0
C0043,29,Male,70400.0,High School,East,7,47.54,8.0,22.4,22,67.9
C0044,39,Female,61100.0,High School,West,7,36.51,7.0,27.9,114,54.1
C0045,37,Female,59400.0,Master,South,7,29.14,13.0,11.2,55,41.9
C0046,38,Female,61500.0,High School,North,9,46.57,7.0,32.5,75,35.2
C0047,46,Female,94800.0,Bachelor,West,10,72.2,12.0,5.3,1,72.7
C0048,38,Female,42800.0,Bachelor,West,10,26.02,6.0,3.0,71,55.3
C0049,43,Male,80600.0,High School,East,5,38.05,6.0,23.5,73,36.7
